subject_source	object_source	count
dwc	neon	511
neon	dwc	511
gold.vocab	mixs	212
mixs	gold.vocab	212
neon	gold.vocab	136
gold.vocab	neon	136
dwc	gold.vocab	132
gold.vocab	dwc	132
ENVO	PATO	117
PATO	ENVO	117
kbase	neon	114
neon	kbase	114
kbase	dwc	104
dwc	kbase	104
neon	mixs	97
mixs	neon	97
ENVO	dwc	85
dwc	ENVO	85
kbase	gold.vocab	78
gold.vocab	kbase	78
PATO	neon	73
neon	PATO	73
PATO	mixs	64
mixs	PATO	64
PATO	gold.vocab	55
gold.vocab	PATO	55
ENVO	mixs	51
mixs	ENVO	51
ENVO	gold.vocab	46
gold.vocab	ENVO	46
kbase	mixs	44
kbase	PATO	44
PATO	kbase	44
mixs	kbase	44
PATO	dwc	30
UO	dwc	30
dwc	UO	30
dwc	PATO	30
kbase	https	28
ENVO	OBI	28
OBI	ENVO	28
https	kbase	28
dce	gold.vocab	24
gold.vocab	dce	24
https	gold.vocab	22
gold.vocab	https	22
neon	https	20
https	neon	20
kbase	ENVO	18
ENVO	kbase	18
dce	dwc	18
dwc	dce	18
OBI	gold.vocab	17
gold.vocab	OBI	17
kbase	dce	16
ENVO	neon	16
dce	kbase	16
datacite	gold.vocab	16
neon	ENVO	16
gold.vocab	datacite	16
OBI	dwc	15
dwc	OBI	15
OBI	PATO	14
PATO	OBI	14
dwc	https	14
https	dwc	14
dce	https	12
https	dce	12
PATO	UO	11
UO	PATO	11
kbase	UO	8
UO	neon	8
UO	kbase	8
dce	neon	8
neon	dce	8
neon	UO	8
PATO	https	7
https	PATO	7
ENVO	https	6
UO	gold.vocab	6
datacite	neon	6
neon	datacite	6
https	ENVO	6
gold.vocab	UO	6
ENVO	dce	4
OBI	neon	4
UO	mixs	4
dce	datacite	4
dce	ENVO	4
datacite	dce	4
datacite	https	4
dwc	mixs	4
neon	OBI	4
https	datacite	4
mixs	UO	4
mixs	dwc	4
OBI	mixs	3
mixs	OBI	3
kbase	BCO	2
kbase	datacite	2
BCO	kbase	2
BCO	dwc	2
UO	https	2
datacite	kbase	2
datacite	mixs	2
dwc	BCO	2
https	UO	2
https	mixs	2
mixs	https	2
mixs	datacite	2
