#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2020-06-18"
#curie_map:
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  OBI: "http://purl.obolibrary.org/obo/OBI_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  UO: "http://purl.obolibrary.org/obo/UO_"
#  dc: "http://purl.org/dc/elements/1.1/"
#  gold.vocab: "https://microbiomedata/schema/ddl/"
#  kbase: "http://kbase.us/"
#  mixs: "https://microbiomedata/schema/mixs#"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
kbase:aquifer	aquifer	owl:equivalentClass	ENVO:00012408	aquifer	Lexical|Stemming	kbase	ENVO	rdf_matcher	0.5	rdfs:label	rdfs:label	slot_definition	http://purl.obolibrary.org/obo/BFO_0000001	aquif	unique	.
kbase:aquifer	aquifer	owl:equivalentClass	ENVO:00012408	aquifer	Lexical	kbase	ENVO	rdf_matcher	0.585786437626905	rdfs:label	rdfs:label	slot_definition	http://purl.obolibrary.org/obo/BFO_0000001	aquifer	unique	.
kbase:aquifer	aquifer	owl:equivalentClass	ENVO:00012408	aquifer	Lexical|Stemming	kbase	ENVO	rdf_matcher	0.5	skos:altLabel	rdfs:label	slot_definition	http://purl.obolibrary.org/obo/BFO_0000001	aquif	unique	.
kbase:aquifer	aquifer	owl:equivalentClass	ENVO:00012408	aquifer	Lexical	kbase	ENVO	rdf_matcher	0.585786437626905	skos:altLabel	rdfs:label	slot_definition	http://purl.obolibrary.org/obo/BFO_0000001	aquifer	unique	.
kbase:collection_date	collection_date	owl:equivalentClass	mixs:collection_date	collection_date	Lexical|Stemming	kbase	mixs	rdf_matcher	0.6666666666666666	rdfs:label	rdfs:label	slot_definition	slot_definition	collection_d	unique	.
kbase:collection_date	collection_date	owl:equivalentClass	mixs:collection_date	collection_date	Lexical	kbase	mixs	rdf_matcher	0.7387961250362586	rdfs:label	rdfs:label	slot_definition	slot_definition	collection_date	unique	.
kbase:collection_date	collection_date	owl:equivalentClass	mixs:collection_date	collection_date	Lexical|Stemming	kbase	mixs	rdf_matcher	0.71117372060607	skos:altLabel	skos:altLabel	slot_definition	slot_definition	collection d	unique	.
kbase:collection_date	collection_date	owl:equivalentClass	mixs:collection_date	collection_date	Lexical	kbase	mixs	rdf_matcher	0.7768953867957378	skos:altLabel	skos:altLabel	slot_definition	slot_definition	collection date	unique	.
kbase:conductivity	conductivity	owl:equivalentClass	mixs:conduc	conduc	Lexical|Stemming	kbase	mixs	rdf_matcher	0.6666666666666666	rdfs:label	skos:altLabel	slot_definition	slot_definition	conduct	unique	.
kbase:conductivity	conductivity	owl:equivalentClass	mixs:conduc	conduc	Lexical	kbase	mixs	rdf_matcher	0.7387961250362586	rdfs:label	skos:altLabel	slot_definition	slot_definition	conductivity	unique	.
kbase:conductivity	conductivity	owl:equivalentClass	mixs:conduc	conduc	Lexical|Stemming	kbase	mixs	rdf_matcher	0.6666666666666666	skos:altLabel	skos:altLabel	slot_definition	slot_definition	conduct	unique	.
kbase:conductivity	conductivity	owl:equivalentClass	mixs:conduc	conduc	Lexical	kbase	mixs	rdf_matcher	0.7387961250362586	skos:altLabel	skos:altLabel	slot_definition	slot_definition	conductivity	unique	.
kbase:country	country	owl:equivalentClass	ENVO:00000009	national geopolitical entity	Lexical|Stemming	kbase	ENVO	rdf_matcher	0.3333333333333333	rdfs:label	oio:hasRelatedSynonym	slot_definition	ENVO	countri	unique	.
kbase:country	country	owl:equivalentClass	gold.vocab:COUNTRY	COUNTRY	Lexical|Stemming	kbase	gold.vocab	rdf_matcher	0.6666666666666666	rdfs:label	rdfs:label	slot_definition	slot_definition	countri	unique	.
kbase:country	country	owl:equivalentClass	gold.vocab:COUNTRY	COUNTRY	Lexical|Stemming	kbase	gold.vocab	rdf_matcher	0.6666666666666666	rdfs:label	skos:altLabel	slot_definition	slot_definition	countri	unique	.
kbase:country	country	owl:equivalentClass	ENVO:00000009	national geopolitical entity	Lexical	kbase	ENVO	rdf_matcher	0.4142135623730951	rdfs:label	oio:hasRelatedSynonym	slot_definition	ENVO	country	unique	.
kbase:country	country	owl:equivalentClass	gold.vocab:COUNTRY	COUNTRY	Lexical	kbase	gold.vocab	rdf_matcher	0.7387961250362586	rdfs:label	rdfs:label	slot_definition	slot_definition	country	unique	.
kbase:country	country	owl:equivalentClass	gold.vocab:COUNTRY	COUNTRY	Lexical	kbase	gold.vocab	rdf_matcher	0.7387961250362586	rdfs:label	skos:altLabel	slot_definition	slot_definition	country	unique	.
kbase:country	country	owl:equivalentClass	ENVO:00000009	national geopolitical entity	Lexical|Stemming	kbase	ENVO	rdf_matcher	0.3333333333333333	skos:altLabel	oio:hasRelatedSynonym	slot_definition	ENVO	countri	unique	.
kbase:country	country	owl:equivalentClass	gold.vocab:COUNTRY	COUNTRY	Lexical|Stemming	kbase	gold.vocab	rdf_matcher	0.6666666666666666	skos:altLabel	rdfs:label	slot_definition	slot_definition	countri	unique	.
kbase:country	country	owl:equivalentClass	gold.vocab:COUNTRY	COUNTRY	Lexical|Stemming	kbase	gold.vocab	rdf_matcher	0.6666666666666666	skos:altLabel	skos:altLabel	slot_definition	slot_definition	countri	unique	.
kbase:country	country	owl:equivalentClass	ENVO:00000009	national geopolitical entity	Lexical	kbase	ENVO	rdf_matcher	0.4142135623730951	skos:altLabel	oio:hasRelatedSynonym	slot_definition	ENVO	country	unique	.
kbase:country	country	owl:equivalentClass	gold.vocab:COUNTRY	COUNTRY	Lexical	kbase	gold.vocab	rdf_matcher	0.7387961250362586	skos:altLabel	rdfs:label	slot_definition	slot_definition	country	unique	.
kbase:country	country	owl:equivalentClass	gold.vocab:COUNTRY	COUNTRY	Lexical	kbase	gold.vocab	rdf_matcher	0.7387961250362586	skos:altLabel	skos:altLabel	slot_definition	slot_definition	country	unique	.
kbase:date	date	owl:equivalentClass	https://w3id.org/biolink/biolinkml/type/Date	date	Lexical	kbase	https	rdf_matcher	0.585786437626905	rdfs:label	rdfs:label	slot_definition	type_definition	date	unique	.
kbase:date	date	owl:equivalentClass	https://w3id.org/biolink/biolinkml/type/Date	date	Lexical|Stemming	kbase	https	rdf_matcher	0.5	rdfs:label	rdfs:label	slot_definition	type_definition	date	unique	.
kbase:date	date	owl:equivalentClass	https://w3id.org/biolink/biolinkml/type/Date	date	Lexical	kbase	https	rdf_matcher	0.585786437626905	skos:altLabel	rdfs:label	slot_definition	type_definition	date	unique	.
kbase:date	date	owl:equivalentClass	https://w3id.org/biolink/biolinkml/type/Date	date	Lexical|Stemming	kbase	https	rdf_matcher	0.5	skos:altLabel	rdfs:label	slot_definition	type_definition	date	unique	.
kbase:depth	depth	owl:equivalentClass	gold.vocab:DEPTH	DEPTH	Lexical	kbase	gold.vocab	rdf_matcher	0.7387961250362586	rdfs:label	rdfs:label	slot_definition	slot_definition	depth	unique	.
kbase:depth	depth	owl:equivalentClass	gold.vocab:DEPTH	DEPTH	Lexical	kbase	gold.vocab	rdf_matcher	0.7387961250362586	rdfs:label	skos:altLabel	slot_definition	slot_definition	depth	unique	.
kbase:depth	depth	owl:equivalentClass	mixs:depth	depth	Lexical	kbase	mixs	rdf_matcher	0.7387961250362586	rdfs:label	rdfs:label	slot_definition	slot_definition	depth	unique	.
kbase:depth	depth	owl:equivalentClass	gold.vocab:DEPTH	DEPTH	Lexical|Stemming	kbase	gold.vocab	rdf_matcher	0.6666666666666666	rdfs:label	rdfs:label	slot_definition	slot_definition	depth	unique	.
kbase:depth	depth	owl:equivalentClass	gold.vocab:DEPTH	DEPTH	Lexical|Stemming	kbase	gold.vocab	rdf_matcher	0.6666666666666666	rdfs:label	skos:altLabel	slot_definition	slot_definition	depth	unique	.
kbase:depth	depth	owl:equivalentClass	mixs:depth	depth	Lexical|Stemming	kbase	mixs	rdf_matcher	0.6666666666666666	rdfs:label	rdfs:label	slot_definition	slot_definition	depth	unique	.
kbase:depth	depth	owl:equivalentClass	gold.vocab:DEPTH	DEPTH	Lexical	kbase	gold.vocab	rdf_matcher	0.7387961250362586	skos:altLabel	rdfs:label	slot_definition	slot_definition	depth	unique	.
kbase:depth	depth	owl:equivalentClass	gold.vocab:DEPTH	DEPTH	Lexical	kbase	gold.vocab	rdf_matcher	0.7387961250362586	skos:altLabel	skos:altLabel	slot_definition	slot_definition	depth	unique	.
kbase:depth	depth	owl:equivalentClass	mixs:depth	depth	Lexical	kbase	mixs	rdf_matcher	0.7387961250362586	skos:altLabel	rdfs:label	slot_definition	slot_definition	depth	unique	.
kbase:depth	depth	owl:equivalentClass	gold.vocab:DEPTH	DEPTH	Lexical|Stemming	kbase	gold.vocab	rdf_matcher	0.6666666666666666	skos:altLabel	rdfs:label	slot_definition	slot_definition	depth	unique	.
kbase:depth	depth	owl:equivalentClass	gold.vocab:DEPTH	DEPTH	Lexical|Stemming	kbase	gold.vocab	rdf_matcher	0.6666666666666666	skos:altLabel	skos:altLabel	slot_definition	slot_definition	depth	unique	.
kbase:depth	depth	owl:equivalentClass	mixs:depth	depth	Lexical|Stemming	kbase	mixs	rdf_matcher	0.6666666666666666	skos:altLabel	rdfs:label	slot_definition	slot_definition	depth	unique	.
kbase:description	description	owl:equivalentClass	https://microbiomedata/meta/description	description	Lexical|Stemming	kbase	https	rdf_matcher	0.6666666666666666	rdfs:label	rdfs:label	slot_definition	slot_definition	descript	unique	.
